#time (ps)	H2O
-1.875	-6.26448721649484E-5
-1.9	1.14252845360825E-4
-1.925	-3.93250336769759E-5
-1.95	-3.61544604810997E-5
-1.975	-1.08497979381443E-4
-2	-1.51741147766323E-4
-2.025	-5.18771072164948E-5
-2.05	-6.54976E-5
-2.075	-5.12555512027491E-5
-2.1	8.55487010309278E-5
-2.125	-1.50752302405498E-5
-2.15	1.72046206185567E-5
-2.175	5.98136804123711E-5
-2.2	-3.32708714776632E-6
-2.225	2.60902213058419E-5
-2.25	2.15047793814433E-5
-2.275	-8.44217388316151E-6
-2.3	8.15888797250859E-5
-2.325	-7.80522336769759E-5
-2.35	-2.5779941580756E-5
-2.375	1.24786041237113E-5
-2.4	1.2741824742268E-4
-2.425	-3.31083615120275E-6
-2.45	-1.42517580756014E-4
-2.475	-5.30123024054983E-5
-2.5	-3.74444797250859E-5
-2.525	-1.05952261168385E-4
-2.55	-7.51914226804124E-6
-2.575	-3.20262329896907E-5
-2.6	-6.73188914089347E-5
-2.625	-5.36142989690722E-5
-2.65	-7.03519656357388E-7
-2.675	-2.58401635738832E-5
-2.7	6.89180343642612E-5
-2.725	-9.76852714776632E-5
-2.75	-2.809064604811E-5
-2.775	-9.47111408934708E-5
