time (ps)	Na2CO3 / 0.25M	time (ps)	Na2CO3 / 0.1M
1.115	-8.28778598E-4	8.425	-4.40351444857143E-5
1.14	-9.54126196571429E-4	8.4	-6.07203657142858E-6
1.165	-8.06505879E-4	8.375	-1.93960891428572E-6
1.19	-6.46928261714286E-4	8.35	6.42625122857143E-6
1.215	-7.07783772142857E-4	8.325	1.14488422857143E-5
1.24	-6.4984603E-4	8.3	1.00586211142857E-5
1.265	-6.15823398428571E-4	8.275	3.7375751E-5
1.29	-6.43623492285714E-4	8.25	1.34405164285714E-5
1.315	-5.42378673142857E-4	8.225	2.23511585714286E-5
1.34	-4.22381878857143E-4	8.2	7.10430437142857E-5
1.365	-5.27619259428571E-4	8.175	1.62900193714286E-4
1.39	-5.56920832571429E-4	8.15	1.73897754885714E-4
1.415	-4.90877997142857E-4	8.125	1.2876502096E-4
1.44	-5.07936515714286E-4	8.1	4.21155193657143E-5
1.465	-5.06423198E-4	8.075	-1.113673504E-5
1.49	-4.53911636285714E-4	8.05	2.13536471714286E-5
1.515	-4.72549037714286E-4	8.025	1.28639929714286E-4
1.54	-5.14740710571428E-4	8	2.21147899142857E-4
1.565	-4.31727835428571E-4	7.975	2.45888598E-4
1.59	-4.97179636E-4	7.95	2.37748550285714E-4
1.615	-5.88862464E-4	7.925	2.13738762571429E-4
1.64	-5.48629681142857E-4	7.9	1.95235189714286E-4
1.665	-4.33737688571429E-4	7.875	1.49818353142857E-4
1.69	-4.5392824E-4	7.85	1.03207165428571E-4
1.715	-3.54070134E-4	7.825	8.07631227142857E-5
1.74	-4.65771433371429E-4	7.8	8.46776326285714E-5
1.765	-5.28028027542857E-4	7.775	1.26833380885714E-4
1.79	-3.65334772285714E-4	7.75	1.95066072914286E-4
1.815	-1.368055466E-4	7.725	1.63723552714286E-4
1.84	-7.83651152E-5	7.7	1.16489645614286E-4
1.865	6.57125907142857E-5	7.675	9.047982304E-5
1.89	-8.80470485714286E-5	7.65	6.86429979914286E-5
1.915	-2.84751765285714E-4	7.625	7.76454285257143E-5
1.94	-2.69733727714286E-4	7.6	1.09572687214286E-4
1.965	-1.56660453142857E-4	7.575	1.14632824857143E-4
1.99	-8.65738395714285E-5	7.55	1.138921344E-4
2.015	2.80241930857143E-5	7.525	1.26253735371429E-4
2.04	-2.66734623142857E-5	7.5	1.69000000857143E-4
2.065	-2.89847500628571E-4	7.475	1.88886018714286E-4
2.09	-5.02682774142857E-4	7.45	1.38165609885714E-4
2.115	-7.39079327142857E-4	7.425	7.77595749428571E-5
2.14	-8.92834623428571E-4	7.4	2.82524921785714E-5
2.165	-7.95799092E-4	7.375	-1.59931501314286E-5
2.19	-4.97086186571428E-4	7.35	2.76008811557143E-5
2.215	-4.15048315428571E-4	7.325	8.47416851542857E-5
2.24	-3.06026946E-4	7.3	1.12857764864286E-4
2.265	-2.86352602857143E-4	7.275	1.19763564285714E-4
2.29	-3.73727035714286E-4	7.25	1.06708217085714E-4
2.315	-3.82523732E-4	7.225	3.24279710285714E-5
2.34	-1.95891320857143E-4	7.2	-1.90236917428571E-5
2.365	-1.89825048971429E-4	7.175	-3.72257941714286E-5
