#time (ps)	NaSO4 0.75 M	time (ps)	NaSO4 0.35 M
3.075	-4.48444351714286E-4	3.225	-1.35211378E-4
3.1	-5.01797991142857E-4	3.25	-5.37826951428571E-5
3.125	-6.21153541142857E-4	3.275	5.85627928571429E-6
3.15	-5.79234318571429E-4	3.3	7.42880114285718E-7
3.175	-4.23297394857143E-4	3.325	1.16948300285714E-5
3.2	-3.22212004285714E-4	3.35	5.64847658857143E-5
3.225	-2.90972914E-4	3.375	2.90810621142857E-5
3.25	-1.26838151428571E-4	3.4	-4.42249366857143E-5
3.275	-3.33133974285714E-5	3.425	-9.51860276285714E-5
3.3	-2.47588157142857E-5	3.45	-1.25436278514286E-4
3.325	-1.36667322857143E-5	3.475	-6.19226608857143E-5
3.35	1.48888811428571E-4	3.5	-1.85297661714286E-5
3.375	1.28386962571429E-4	3.525	1.74805623142857E-5
3.4	9.91889525714286E-5	3.55	-2.00827766285714E-5
3.425	1.22061551142857E-4	3.575	-7.07357601714286E-5
3.45	9.337089E-5	3.6	-1.04571340657143E-4
3.475	-6.66459476E-5	3.625	-7.44158650857143E-5
3.5	-2.81464916571429E-5	3.65	-4.81784998285714E-5
3.525	-1.23680056171429E-4	3.675	-6.98092108285714E-5
3.55	-1.80398249428571E-4	3.7	-1.247837228E-4
3.575	-4.34206868571428E-5	3.725	-1.19680122285714E-4
3.6	1.16570925142857E-4	3.75	-1.14142284428571E-4
3.625	2.91125355714286E-4	3.775	-1.91486552E-5
3.65	3.84263456285714E-4	3.8	1.202884104E-4
3.675	2.01050157885714E-4	3.825	1.60169640228571E-4
3.7	1.91894105714287E-6	3.85	1.51636589657143E-4
3.725	-1.11663081931429E-4	3.875	9.16249275428571E-5
3.75	-2.64174421937143E-4	3.9	-5.94670629142857E-5
3.775	-3.85644611531429E-4	3.925	-2.10838478285714E-4
3.8	-4.83717130028571E-4	3.95	-2.82573562857143E-4
3.825	-5.87238931142857E-4	3.975	-2.96433343E-4
3.85	-5.85350106285714E-4	4	-2.42691263485714E-4
3.875	-4.77041575142857E-4	4.025	-1.56636150314286E-4
3.9	-3.12521178971429E-4	4.05	-1.62976280114286E-4
3.925	-2.14933095097143E-4	4.075	-1.761269406E-4
3.95	-1.52065247234286E-4	4.1	-1.66811195514286E-4
3.975	-8.08844100685714E-5	4.125	-1.25978385314286E-4
4	-1.38843877314286E-4	4.15	-8.56198064E-5
4.025	-1.791089184E-4	4.175	-5.09666133142857E-5
4.05	-2.36096785142857E-4	4.2	-5.25568566285714E-5
4.075	-3.14748779714286E-4	4.225	4.99156269714286E-5
4.1	-2.51553657714286E-4	4.25	1.13076243285714E-4
4.125	-7.99468451428571E-5	4.275	1.65915555142857E-4
4.15	-1.03525903714286E-4	4.3	2.04343715714286E-4
4.175	-1.67804929428571E-4	4.325	1.42253416E-4
4.2	-2.95980944E-4	4.35	8.33396834285716E-6
4.225	-4.30797669142857E-4	4.375	-2.60747156857143E-5
4.25	-4.93663741428571E-4	4.4	-2.73188164571429E-5
4.275	-3.94956410571429E-4	4.425	-3.78900628285714E-5
4.3	-3.43293073142857E-4	4.45	-6.20778293714286E-5
4.325	-3.59816638E-4	4.475	-7.19298015714286E-5
4.35	-3.87055546E-4	4.5	-1.53961518E-4
4.375	-2.83047649714286E-4	4.525	-1.96654466857143E-4
